# x_m, y_m, w_tr_right_m, w_tr_left_m
-39.6330046999273, -7.623811685201071, 10.0, 10.0
-39.08143991956096, -7.489576408828509, 10.0, 10.0
-38.51385601673227, -7.480019756007727, 10.0, 10.0
-37.953945167679265, -7.573521934999071, 10.0, 10.0
-37.41373236432245, -7.747915006686998, 10.0, 10.0
-36.89772986377878, -7.984524887706499, 10.0, 10.0
-36.40648059728966, -8.268983978855449, 10.0, 10.0
-35.938765627663955, -8.590675637981708, 10.0, 10.0
-35.49277573673869, -8.941867656051391, 10.0, 10.0
-35.066669308706636, -9.316935820993644, 10.0, 10.0
-34.658810135545465, -9.711769597704382, 10.0, 10.0
-34.26785144589228, -10.123344766231407, 10.0, 10.0
-33.89275202261526, -10.549423677960954, 10.0, 10.0
-33.532766581997336, -10.988346562880958, 10.0, 10.0
-33.18743049219327, -11.438886018913639, 10.0, 10.0
-32.7211143888585, -11.762602110781273, 10.0, 10.0
-32.17827351989456, -11.928634057544105, 10.0, 10.0
-31.610609880167637, -11.929533221246794, 10.0, 10.0
-31.05845196502961, -11.797758970674773, 10.0, 10.0
-30.538429406429714, -11.570120320813642, 10.0, 10.0
-30.05284352454261, -11.27609792766084, 10.0, 10.0
-29.598164640399034, -10.93623041129992, 10.0, 10.0
-29.169461540630955, -10.564133019999435, 10.0, 10.0
-28.762123022601543, -10.168762120598656, 10.0, 10.0
-28.37233888028763, -9.756074419347465, 10.0, 10.0
-27.99711571745279, -9.330104473886985, 10.0, 10.0
-27.634153836641936, -8.893639710771305, 10.0, 10.0
-27.28170546894651, -8.448641997887057, 10.0, 10.0
-26.93845212343122, -7.996513744892463, 10.0, 10.0
-26.603408623303974, -7.5382685382771975, 10.0, 10.0
-26.27585160090687, -7.074642381291068, 10.0, 10.0
-25.95526794010191, -6.606167266916481, 10.0, 10.0
-25.64131890443615, -6.133220314956839, 10.0, 10.0
-25.33381663689138, -5.656056640922225, 10.0, 10.0
-25.03271073833148, -5.174831065733395, 10.0, 10.0
-24.705940706867036, -4.710649891082693, 10.0, 10.0
-24.358465662156632, -4.261758022514232, 10.0, 10.0
-23.993870278950318, -3.8266568585212783, 10.0, 10.0
-23.61476744622703, -3.4041360204735387, 10.0, 10.0
-23.223072506093764, -2.9932614772886668, 10.0, 10.0
-22.82018996281356, -2.5933508964290697, 10.0, 10.0
-22.407141045869935, -2.203949550032985, 10.0, 10.0
-21.98465111948053, -1.824812268216948, 10.0, 10.0
-21.55320950085136, -1.4558936510694538, 10.0, 10.0
-21.029791353679343, -1.2361750592880414, 10.0, 10.0
-20.464295627029948, -1.1866028946726375, 10.0, 10.0
-19.907668795762813, -1.2980003231747448, 10.0, 10.0
-19.364633916817617, -1.4633966248636172, 10.0, 10.0
-18.827393062333943, -1.6467407838571262, 10.0, 10.0
-18.292361215518213, -1.8364345878053259, 10.0, 10.0
-17.758181845123296, -2.028515863852397, 10.0, 10.0
-17.224344752976652, -2.2215463676900016, 10.0, 10.0
-16.690651585531374, -2.414974440589464, 10.0, 10.0
-16.15702184219888, -2.608577419374092, 10.0, 10.0
-15.623392098866384, -2.8021803981587143, 10.0, 10.0
-15.08976235553389, -2.995783376943342, 10.0, 10.0
-14.556132612201395, -3.1893863557279647, 10.0, 10.0
-14.022502868868902, -3.3829893345125868, 10.0, 10.0
-13.488873125536408, -3.576592313297215, 10.0, 10.0
-12.955243382203912, -3.770195292081843, 10.0, 10.0
-12.421613638871419, -3.9637982708664654, 10.0, 10.0
-11.887983895538923, -4.1574012496510875, 10.0, 10.0
-11.35435415220643, -4.351004228435715, 10.0, 10.0
-10.820724408873936, -4.544607207220338, 10.0, 10.0
-10.28709466554144, -4.738210186004966, 10.0, 10.0
-9.753464922208947, -4.931813164789588, 10.0, 10.0
-9.219835178876451, -5.125416143574217, 10.0, 10.0
-8.686205435543958, -5.319019122358839, 10.0, 10.0
-8.152575692211462, -5.512622101143467, 10.0, 10.0
-7.618945948878968, -5.706225079928089, 10.0, 10.0
-7.085316205546474, -5.899828058712711, 10.0, 10.0
-6.551686462213979, -6.093431037497339, 10.0, 10.0
-6.0180567188814855, -6.287034016281968, 10.0, 10.0
-5.484426975548991, -6.48063699506659, 10.0, 10.0
-4.950797232216496, -6.674239973851212, 10.0, 10.0
-4.417167488884002, -6.86784295263584, 10.0, 10.0
-3.883537745551507, -7.061445931420469, 10.0, 10.0
-3.349908002219013, -7.25504891020509, 10.0, 10.0
-2.8162782588865185, -7.448651888989713, 10.0, 10.0
-2.282648515554024, -7.642254867774341, 10.0, 10.0
-1.7153947363695694, -7.663841121834134, 10.0, 10.0
-1.1685948465782758, -7.511352771827962, 10.0, 10.0
-0.694376843646603, -7.199326968313432, 10.0, 10.0
-0.33794928616591735, -6.757510023604727, 10.0, 10.0
-0.13133140851838335, -6.228783374947961, 10.0, 10.0
-0.020164999218582128, -5.672110359788462, 10.0, 10.0
0.037170540968293156, -5.107348948044649, 10.0, 10.0
0.06447191014517557, -4.540341495179655, 10.0, 10.0
0.0746231243685429, -3.9727679147399217, 10.0, 10.0
0.07466244122712169, -3.405103564249629, 10.0, 10.0
0.06853502968550629, -2.83747228323071, 10.0, 10.0
0.0585188424868079, -2.2698963038610884, 10.0, 10.0
0.04596899569282869, -1.7023706941227887, 10.0, 10.0
0.03171523149351287, -1.1348853228844349, 10.0, 10.0
